val_reg_loss,epoch,step,train_reg_loss,max_norm
0.17936541140079498,66,401,,
,66,401,1.28486168384552,0.0
0.1962561309337616,67,407,,
,67,407,1.3383162021636963,0.0
0.16460299491882324,68,413,,
,68,413,1.4259470701217651,0.0
0.22763128578662872,69,419,,
,69,419,1.3483372926712036,0.0
0.17132513225078583,70,425,,
,70,425,1.3171114921569824,0.0
0.19685444235801697,71,431,,
,71,431,1.3234002590179443,0.0
0.17341957986354828,72,437,,
,72,437,1.3223412036895752,0.0
0.21757718920707703,73,443,,
,73,443,1.2312978506088257,0.0
0.1840621531009674,74,449,,
,74,449,1.2394894361495972,0.0
0.19310586154460907,75,455,,
,75,455,1.2710129022598267,0.0
0.17583484947681427,76,461,,
,76,461,1.269882082939148,0.0
0.2027081698179245,77,467,,
,77,467,1.2899436950683594,0.0
0.1822427362203598,78,473,,
,78,473,1.3445032835006714,0.0
0.17669782042503357,79,479,,
,79,479,1.2470557689666748,0.0
0.17091383039951324,80,485,,
,80,485,1.3183941841125488,0.0
0.225199356675148,81,491,,
,81,491,1.3734900951385498,0.0
0.173714742064476,82,497,,
,82,497,1.521431565284729,0.0
0.34795594215393066,83,503,,
,83,503,1.3719980716705322,0.0
0.16085180640220642,84,509,,
,84,509,1.29118013381958,0.0
0.19407066702842712,85,515,,
,85,515,1.4062485694885254,0.0
0.18910112977027893,86,521,,
,86,521,1.2225650548934937,0.0
0.208733931183815,87,527,,
,87,527,1.2901599407196045,0.0
0.20477108657360077,88,533,,
,88,533,1.24643874168396,0.0
0.17112040519714355,89,539,,
,89,539,1.2471553087234497,0.0
0.20342861115932465,90,545,,
,90,545,1.2390761375427246,0.0
0.1660037487745285,91,551,,
,91,551,1.3109537363052368,0.0
0.1961982548236847,92,557,,
,92,557,1.4261888265609741,0.0
0.2067410796880722,93,563,,
,93,563,1.3425484895706177,0.0
0.16060367226600647,94,569,,
,94,569,1.3973416090011597,0.0
0.3404080867767334,95,575,,
,95,575,1.255354881286621,0.0
0.16932035982608795,96,581,,
